Time (s), Node Label, Z Position (m), U1 Displacement (m)
0.0,711,-2689.1875,0.0
0.0,712,-2693.35205078125,0.0
0.0,713,-2697.58618164062,0.0
0.0,714,-2701.89111328125,0.0
0.0,715,-2706.26806640625,0.0
0.0,716,-2710.71826171875,0.0
0.0,717,-2715.24267578125,0.0
0.0,718,-2719.84301757812,0.0
0.0,719,-2724.52026367188,0.0
0.0,720,-2729.27563476562,0.0
0.0,721,-2734.11059570312,0.0
0.0,722,-2739.02661132812,0.0
0.0,723,-2744.02465820312,0.0
0.0,724,-2749.1064453125,0.0
0.0,725,-2754.27294921875,0.0
0.0,726,-2759.52612304688,0.0
0.0,727,-2764.8671875,0.0
0.0,728,-2770.29736328125,0.0
0.0,729,-2775.81860351562,0.0
0.0,730,-2781.43212890625,0.0
0.0,731,-2787.13940429688,0.0
0.0,732,-2792.9423828125,0.0
0.0,733,-2798.84228515625,0.0
0.0,734,-2804.8408203125,0.0
0.0,735,-2810.93969726562,0.0
0.0,736,-2817.14086914062,0.0
0.0,737,-2823.4453125,0.0
0.0,738,-2829.85546875,0.0
0.0,739,-2836.37280273438,0.0
0.0,740,-2842.99926757812,0.0
0.0,741,-2849.73657226562,0.0
0.0,742,-2856.58642578125,0.0
0.0,743,-2863.55078125,0.0
0.0,744,-2870.6318359375,0.0
0.0,745,-2877.8310546875,0.0
0.0,746,-2885.15087890625,0.0
0.0,747,-2892.59326171875,0.0
0.0,748,-2900.15991210938,0.0
0.0,749,-2907.85327148438,0.0
0.0,750,-2915.67529296875,0.0
0.0,751,-2923.6279296875,0.0
0.0,752,-2931.7138671875,0.0
0.0,753,-2939.93505859375,0.0
0.0,754,-2948.29345703125,0.0
0.0,755,-2956.7919921875,0.0
0.0,756,-2965.4326171875,0.0
0.0,757,-2974.21752929688,0.0
0.0,758,-2983.14965820312,0.0
0.0,759,-2992.23095703125,0.0
0.0,760,-3001.46435546875,0.0
0.0,761,-3010.85229492188,0.0
0.0,762,-3020.39697265625,0.0
0.0,763,-3030.10131835938,0.0
0.0,764,-3039.96826171875,0.0
0.0,765,-3050.0,0.0
0.0,766,-3060.03173828125,0.0
0.0,767,-3069.89868164062,0.0
0.0,768,-3079.60302734375,0.0
0.0,769,-3089.14770507812,0.0
0.0,770,-3098.53564453125,0.0
0.0,771,-3107.76904296875,0.0
0.0,772,-3116.85034179688,0.0
0.0,773,-3125.78247070312,0.0
0.0,774,-3134.5673828125,0.0
0.0,775,-3143.2080078125,0.0
0.0,776,-3151.70654296875,0.0
0.0,777,-3160.06494140625,0.0
0.0,778,-3168.2861328125,0.0
0.0,779,-3176.3720703125,0.0
0.0,780,-3184.32470703125,0.0
0.0,781,-3192.14672851562,0.0
0.0,782,-3199.84008789062,0.0
0.0,783,-3207.40673828125,0.0
0.0,784,-3214.84912109375,0.0
0.0,785,-3222.1689453125,0.0
0.0,786,-3229.3681640625,0.0
0.0,787,-3236.44921875,0.0
0.0,788,-3243.41357421875,0.0
0.0,789,-3250.26342773438,0.0
0.0,790,-3257.00073242188,0.0
0.0,791,-3263.62719726562,0.0
0.0,792,-3270.14453125,0.0
0.0,793,-3276.5546875,0.0
0.0,794,-3282.85913085938,0.0
0.0,795,-3289.06030273438,0.0
0.0,796,-3295.1591796875,0.0
0.0,797,-3301.15771484375,0.0
0.0,798,-3307.0576171875,0.0
0.0,799,-3312.86059570312,0.0
0.0,800,-3318.56787109375,0.0
0.0,801,-3324.18139648438,0.0
0.0,802,-3329.70263671875,0.0
0.0,803,-3335.1328125,0.0
0.0,804,-3340.47387695312,0.0
0.0,805,-3345.72705078125,0.0
0.0,806,-3350.8935546875,0.0
0.0,807,-3355.97534179688,0.0
0.0,808,-3360.97338867188,0.0
0.0,809,-3365.88940429688,0.0
0.0,810,-3370.72436523438,0.0
0.0,811,-3375.47973632812,0.0
0.0,812,-3380.15698242188,0.0
0.0,813,-3384.75732421875,0.0
0.0,814,-3389.28173828125,0.0
0.0,815,-3393.73193359375,0.0
0.0,816,-3398.10888671875,0.0
0.0,817,-3402.41381835938,0.0
0.0,818,-3406.64794921875,0.0
0.0,819,-3410.8125,0.0
0.0,820,-3414.90844726562,0.0
0.0,821,-3418.93701171875,0.0
0.0,822,-3422.89916992188,0.0
