Time (s), Node Label, Z Position (m), NT (K)
0.0,665,-2545.298583984375,288.7799987792969
0.0,666,-2547.05615234375,288.8169860839844
0.0,667,-2548.84326171875,288.8550109863281
0.0,668,-2550.66015625,288.8940124511719
0.0,669,-2552.507568359375,288.9330139160156
0.0,670,-2554.385986328125,288.9739990234375
0.0,671,-2556.295654296875,289.0140075683594
0.0,672,-2558.2373046875,289.0559997558594
0.0,673,-2560.21142578125,289.0979919433594
0.0,674,-2562.218505859375,289.1400146484375
0.0,675,-2564.259033203125,289.1839904785156
0.0,676,-2566.333984375,289.2279968261719
0.0,677,-2568.443603515625,289.27301025390625
0.0,678,-2570.58837890625,289.3190002441406
0.0,679,-2572.76904296875,289.364990234375
0.0,680,-2574.986083984375,289.4129943847656
0.0,681,-2577.240478515625,289.46099853515625
0.0,682,-2579.532470703125,289.510009765625
0.0,683,-2581.86279296875,289.5589904785156
0.0,684,-2584.23193359375,289.6099853515625
0.0,685,-2586.640869140625,289.6610107421875
0.0,686,-2589.090087890625,289.7130126953125
0.0,687,-2591.580322265625,289.7659912109375
0.0,688,-2594.112060546875,289.82000732421875
0.0,689,-2596.686279296875,289.875
0.0,690,-2599.303466796875,289.9309997558594
0.0,691,-2601.964599609375,289.9880065917969
0.0,692,-2604.670166015625,290.0450134277344
0.0,693,-2607.4208984375,290.10400390625
0.0,694,-2610.217529296875,290.16400146484375
0.0,695,-2613.061279296875,290.2239990234375
0.0,696,-2615.952392578125,290.2860107421875
0.0,697,-2618.891845703125,290.3479919433594
0.0,698,-2621.88037109375,290.4119873046875
0.0,699,-2624.9189453125,290.47698974609375
0.0,700,-2628.008544921875,290.5429992675781
0.0,701,-2631.149658203125,290.6099853515625
0.0,702,-2634.34326171875,290.6780090332031
0.0,703,-2637.59033203125,290.74700927734375
0.0,704,-2640.891845703125,290.8169860839844
0.0,705,-2644.24853515625,290.8890075683594
0.0,706,-2647.661376953125,290.9620056152344
0.0,707,-2651.131103515625,291.0360107421875
0.0,708,-2654.658935546875,291.1109924316406
0.0,709,-2658.245849609375,291.18701171875
0.0,710,-2661.892822265625,291.2650146484375
0.0,711,-2665.600830078125,291.343994140625
0.0,712,-2669.37060546875,291.42401123046875
0.0,713,-2673.20361328125,291.5060119628906
0.0,714,-2677.100830078125,291.5889892578125
0.0,715,-2681.06298828125,291.67401123046875
0.0,716,-2685.091552734375,291.7590026855469
0.0,717,-2689.1875,291.84698486328125
0.0,718,-2693.35205078125,291.9360046386719
0.0,719,-2697.586181640625,292.0260009765625
0.0,720,-2701.89111328125,292.1180114746094
0.0,721,-2706.26806640625,292.21099853515625
0.0,722,-2710.71826171875,292.3059997558594
0.0,723,-2715.24267578125,292.4020080566406
0.0,724,-2719.843017578125,292.5
0.0,725,-2724.520263671875,292.6000061035156
0.0,726,-2729.275634765625,292.70098876953125
0.0,727,-2734.110595703125,292.8039855957031
0.0,728,-2739.026611328125,292.90899658203125
0.0,729,-2744.024658203125,293.0159912109375
0.0,730,-2749.1064453125,293.1239929199219
0.0,731,-2754.27294921875,293.2340087890625
0.0,732,-2759.526123046875,293.34600830078125
0.0,733,-2764.8671875,293.4599914550781
0.0,734,-2770.29736328125,293.57598876953125
0.0,735,-2775.818603515625,293.6929931640625
0.0,736,-2781.43212890625,293.81298828125
0.0,737,-2787.139404296875,293.93499755859375
0.0,738,-2792.9423828125,294.0580139160156
0.0,739,-2798.84228515625,294.1839904785156
0.0,740,-2804.8408203125,294.31201171875
0.0,741,-2810.939697265625,294.4419860839844
0.0,742,-2817.140869140625,294.5740051269531
0.0,743,-2823.4453125,294.7080078125
0.0,744,-2829.85546875,294.8450012207031
0.0,745,-2836.372802734375,294.9840087890625
0.0,746,-2842.999267578125,295.125
0.0,747,-2849.736572265625,295.2690124511719
0.0,748,-2856.58642578125,295.4150085449219
0.0,749,-2863.55078125,295.56298828125
0.0,750,-2870.6318359375,295.7139892578125
0.0,751,-2877.8310546875,295.8680114746094
0.0,752,-2885.15087890625,296.02398681640625
0.0,753,-2892.59326171875,296.1820068359375
0.0,754,-2900.159912109375,296.343994140625
0.0,755,-2907.853271484375,296.50799560546875
0.0,756,-2915.67529296875,296.67401123046875
0.0,757,-2923.6279296875,296.843994140625
0.0,758,-2931.7138671875,297.0159912109375
0.0,759,-2939.93505859375,297.1910095214844
0.0,760,-2948.29345703125,297.3699951171875
0.0,761,-2956.7919921875,297.5509948730469
0.0,762,-2965.4326171875,297.7349853515625
0.0,763,-2974.217529296875,297.9219970703125
0.0,764,-2983.149658203125,298.1130065917969
0.0,765,-2992.23095703125,298.3059997558594
0.0,766,-3001.46435546875,298.50299072265625
0.0,767,-3010.852294921875,298.7030029296875
0.0,768,-3020.39697265625,298.906005859375
0.0,769,-3030.101318359375,299.1130065917969
0.0,770,-3039.96826171875,299.3240051269531
0.0,771,-3050.0,299.5369873046875
0.0,772,-3060.03173828125,299.7510070800781
0.0,773,-3069.898681640625,299.9620056152344
0.0,774,-3079.60302734375,300.1679992675781
0.0,775,-3089.147705078125,300.37200927734375
0.0,776,-3098.53564453125,300.5719909667969
0.0,777,-3107.76904296875,300.7690124511719
0.0,778,-3116.850341796875,300.9620056152344
0.0,779,-3125.782470703125,301.15301513671875
0.0,780,-3134.5673828125,301.3399963378906
0.0,781,-3143.2080078125,301.52398681640625
0.0,782,-3151.70654296875,301.7049865722656
0.0,783,-3160.06494140625,301.88299560546875
0.0,784,-3168.2861328125,302.0589904785156
0.0,785,-3176.3720703125,302.2309875488281
0.0,786,-3184.32470703125,302.4010009765625
0.0,787,-3192.146728515625,302.5669860839844
0.0,788,-3199.840087890625,302.7309875488281
0.0,789,-3207.40673828125,302.89300537109375
0.0,790,-3214.84912109375,303.0509948730469
0.0,791,-3222.1689453125,303.2070007324219
0.0,792,-3229.3681640625,303.3609924316406
0.0,793,-3236.44921875,303.5119934082031
0.0,794,-3243.41357421875,303.6600036621094
0.0,795,-3250.263427734375,303.8059997558594
0.0,796,-3257.000732421875,303.95001220703125
0.0,797,-3263.627197265625,304.09100341796875
0.0,798,-3270.14453125,304.2300109863281
0.0,799,-3276.5546875,304.3659973144531
0.0,800,-3282.859130859375,304.5010070800781
0.0,801,-3289.060302734375,304.63299560546875
0.0,802,-3295.1591796875,304.76300048828125
0.0,803,-3301.15771484375,304.8909912109375
0.0,804,-3307.0576171875,305.0169982910156
0.0,805,-3312.860595703125,305.1400146484375
0.0,806,-3318.56787109375,305.2619934082031
0.0,807,-3324.181396484375,305.3819885253906
0.0,808,-3329.70263671875,305.4989929199219
0.0,809,-3335.1328125,305.614990234375
0.0,810,-3340.473876953125,305.72900390625
0.0,811,-3345.72705078125,305.84100341796875
0.0,812,-3350.8935546875,305.95098876953125
0.0,813,-3355.975341796875,306.0589904785156
0.0,814,-3360.973388671875,306.1659851074219
0.0,815,-3365.889404296875,306.27099609375
0.0,816,-3370.724365234375,306.3739929199219
0.0,817,-3375.479736328125,306.4750061035156
0.0,818,-3380.156982421875,306.57501220703125
0.0,819,-3384.75732421875,306.6730041503906
