Time (s), Node Label, Z Position (m), U1 Displacement (m)
0.0,709,-2681.06298828125,0.0
0.0,710,-2685.091552734375,0.0
0.0,711,-2689.1875,0.0
0.0,712,-2693.35205078125,0.0
0.0,713,-2697.586181640625,0.0
0.0,714,-2701.89111328125,0.0
0.0,715,-2706.26806640625,0.0
0.0,716,-2710.71826171875,0.0
0.0,717,-2715.24267578125,0.0
0.0,718,-2719.843017578125,0.0
0.0,719,-2724.520263671875,0.0
0.0,720,-2729.275634765625,0.0
0.0,721,-2734.110595703125,0.0
0.0,722,-2739.026611328125,0.0
0.0,723,-2744.024658203125,0.0
0.0,724,-2749.1064453125,0.0
0.0,725,-2754.27294921875,0.0
0.0,726,-2759.526123046875,0.0
0.0,727,-2764.8671875,0.0
0.0,728,-2770.29736328125,0.0
0.0,729,-2775.818603515625,0.0
0.0,730,-2781.43212890625,0.0
0.0,731,-2787.139404296875,0.0
0.0,732,-2792.9423828125,0.0
0.0,733,-2798.84228515625,0.0
0.0,734,-2804.8408203125,0.0
0.0,735,-2810.939697265625,0.0
0.0,736,-2817.140869140625,0.0
0.0,737,-2823.4453125,0.0
0.0,738,-2829.85546875,0.0
0.0,739,-2836.372802734375,0.0
0.0,740,-2842.999267578125,0.0
0.0,741,-2849.736572265625,0.0
0.0,742,-2856.58642578125,0.0
0.0,743,-2863.55078125,0.0
0.0,744,-2870.6318359375,0.0
0.0,745,-2877.8310546875,0.0
0.0,746,-2885.15087890625,0.0
0.0,747,-2892.59326171875,0.0
0.0,748,-2900.159912109375,0.0
0.0,749,-2907.853271484375,0.0
0.0,750,-2915.67529296875,0.0
0.0,751,-2923.6279296875,0.0
0.0,752,-2931.7138671875,0.0
0.0,753,-2939.93505859375,0.0
0.0,754,-2948.29345703125,0.0
0.0,755,-2956.7919921875,0.0
0.0,756,-2965.4326171875,0.0
0.0,757,-2974.217529296875,0.0
0.0,758,-2983.149658203125,0.0
0.0,759,-2992.23095703125,0.0
0.0,760,-3001.46435546875,0.0
0.0,761,-3010.852294921875,0.0
0.0,762,-3020.39697265625,0.0
0.0,763,-3030.101318359375,0.0
0.0,764,-3039.96826171875,0.0
0.0,765,-3050.0,0.0
0.0,766,-3060.03173828125,0.0
0.0,767,-3069.898681640625,0.0
0.0,768,-3079.60302734375,0.0
0.0,769,-3089.147705078125,0.0
0.0,770,-3098.53564453125,0.0
0.0,771,-3107.76904296875,0.0
0.0,772,-3116.850341796875,0.0
0.0,773,-3125.782470703125,0.0
0.0,774,-3134.5673828125,0.0
0.0,775,-3143.2080078125,0.0
0.0,776,-3151.70654296875,0.0
0.0,777,-3160.06494140625,0.0
0.0,778,-3168.2861328125,0.0
0.0,779,-3176.3720703125,0.0
0.0,780,-3184.32470703125,0.0
0.0,781,-3192.146728515625,0.0
0.0,782,-3199.840087890625,0.0
0.0,783,-3207.40673828125,0.0
0.0,784,-3214.84912109375,0.0
0.0,785,-3222.1689453125,0.0
0.0,786,-3229.3681640625,0.0
0.0,787,-3236.44921875,0.0
0.0,788,-3243.41357421875,0.0
0.0,789,-3250.263427734375,0.0
0.0,790,-3257.000732421875,0.0
0.0,791,-3263.627197265625,0.0
0.0,792,-3270.14453125,0.0
0.0,793,-3276.5546875,0.0
0.0,794,-3282.859130859375,0.0
0.0,795,-3289.060302734375,0.0
0.0,796,-3295.1591796875,0.0
0.0,797,-3301.15771484375,0.0
0.0,798,-3307.0576171875,0.0
0.0,799,-3312.860595703125,0.0
0.0,800,-3318.56787109375,0.0
0.0,801,-3324.181396484375,0.0
0.0,802,-3329.70263671875,0.0
0.0,803,-3335.1328125,0.0
0.0,804,-3340.473876953125,0.0
0.0,805,-3345.72705078125,0.0
0.0,806,-3350.8935546875,0.0
0.0,807,-3355.975341796875,0.0
0.0,808,-3360.973388671875,0.0
0.0,809,-3365.889404296875,0.0
0.0,810,-3370.724365234375,0.0
0.0,811,-3375.479736328125,0.0
0.0,812,-3380.156982421875,0.0
0.0,813,-3384.75732421875,0.0
0.0,814,-3389.28173828125,0.0
0.0,815,-3393.73193359375,0.0
0.0,816,-3398.10888671875,0.0
0.0,817,-3402.413818359375,0.0
0.0,818,-3406.64794921875,0.0
0.0,819,-3410.8125,0.0
0.0,820,-3414.908447265625,0.0
0.0,821,-3418.93701171875,0.0
0.0,822,-3422.899169921875,0.0
0.0,823,-3426.79638671875,0.0
0.0,824,-3430.62939453125,0.0
0.0,825,-3434.399169921875,0.0
0.0,826,-3438.107177734375,0.0
0.0,827,-3441.754150390625,0.0
0.0,828,-3445.341064453125,0.0
0.0,829,-3448.868896484375,0.0
0.0,830,-3452.338623046875,0.0
0.0,831,-3455.75146484375,0.0
0.0,832,-3459.108154296875,0.0
0.0,833,-3462.40966796875,0.0
0.0,834,-3465.65673828125,0.0
0.0,835,-3468.850341796875,0.0
0.0,836,-3471.991455078125,0.0
0.0,837,-3475.0810546875,0.0
0.0,838,-3478.11962890625,0.0
0.0,839,-3481.108154296875,0.0
0.0,840,-3484.047607421875,0.0
0.0,841,-3486.938720703125,0.0
0.0,842,-3489.782470703125,0.0
0.0,843,-3492.5791015625,0.0
0.0,844,-3495.329833984375,0.0
0.0,845,-3498.035400390625,0.0
0.0,846,-3500.696533203125,0.0
0.0,847,-3503.313720703125,0.0
0.0,848,-3505.887939453125,0.0
0.0,849,-3508.419677734375,0.0
0.0,850,-3510.909912109375,0.0
0.0,851,-3513.359130859375,0.0
0.0,852,-3515.76806640625,0.0
0.0,853,-3518.13720703125,0.0
0.0,854,-3520.467529296875,0.0
0.0,855,-3522.759521484375,0.0
0.0,856,-3525.013916015625,0.0
0.0,857,-3527.23095703125,0.0
0.0,858,-3529.41162109375,0.0
0.0,859,-3531.556396484375,0.0
0.0,860,-3533.666015625,0.0
0.0,861,-3535.740966796875,0.0
0.0,862,-3537.781494140625,0.0
0.0,863,-3539.78857421875,0.0
0.0,864,-3541.7626953125,0.0
0.0,865,-3543.704345703125,0.0
0.0,866,-3545.614013671875,0.0
0.0,867,-3547.492431640625,0.0
0.0,868,-3549.33984375,0.0
0.0,869,-3551.15673828125,0.0
0.0,870,-3552.94384765625,0.0
0.0,871,-3554.701416015625,0.0
0.0,872,-3556.43017578125,0.0
0.0,873,-3558.130615234375,0.0
0.0,874,-3559.802978515625,0.0
0.0,875,-3561.44775390625,0.0
0.0,876,-3563.065673828125,0.0
0.0,877,-3564.65673828125,0.0
0.0,878,-3566.2216796875,0.0
0.0,879,-3567.760986328125,0.0
0.0,880,-3569.27490234375,0.0
0.0,881,-3570.763916015625,0.0
0.0,882,-3572.228515625,0.0
0.0,883,-3573.6689453125,0.0
0.0,884,-3575.085693359375,0.0
0.0,885,-3576.47900390625,0.0
0.0,886,-3577.849609375,0.0
0.0,887,-3579.197509765625,0.0
0.0,888,-3580.523193359375,0.0
0.0,889,-3581.8271484375,0.0
0.0,890,-3583.10986328125,0.0
0.0,891,-3584.37109375,0.0
0.0,892,-3585.61181640625,0.0
0.0,893,-3586.83203125,0.0
0.0,894,-3588.0322265625,0.0
0.0,895,-3589.212646484375,0.0
0.0,896,-3590.373779296875,0.0
0.0,897,-3591.515625,0.0
0.0,898,-3592.638671875,0.0
0.0,899,-3593.743408203125,0.0
0.0,900,-3594.829833984375,0.0
0.0,901,-3595.8984375,0.0
0.0,902,-3596.949462890625,0.0
0.0,903,-3597.983154296875,0.0
0.0,904,-3599.0,0.0
1.0,2,-3600.0,-2.7404493522189004e-29
1.0,3,-4100.0,4.708702200988282e-36
1.0,6,-2500.0,-6.413907998438745e-36
1.0,35,-3601.0,-2.8430135477010274e-29
1.0,36,-3602.03662109375,-2.947972817624932e-29
1.0,37,-3603.111083984375,-3.057094503641144e-29
1.0,38,-3604.224853515625,-3.1703629575688645e-29
1.0,39,-3605.37939453125,-3.287158270707244e-29
1.0,40,-3606.575927734375,-3.4094436878933426e-29
1.0,41,-3607.81640625,-3.535914993442945e-29
1.0,42,-3609.102294921875,-3.666668784779825e-29
1.0,43,-3610.43505859375,-3.80293133761076e-29
1.0,44,-3611.816650390625,-3.944142928545663e-29
1.0,45,-3613.248779296875,-4.090955063573533e-29
1.0,46,-3614.7333984375,-4.2427264682082e-29
1.0,47,-3616.272216796875,-4.4001393429471524e-29
1.0,48,-3617.8671875,-4.5639068837229215e-29
1.0,49,-3619.5205078125,-4.734054067439473e-29
1.0,50,-3621.234375,-4.909889364876151e-29
1.0,51,-3623.0107421875,-5.093541229548057e-29
1.0,52,-3624.852294921875,-5.282995560030537e-29
1.0,53,-3626.760986328125,-5.480912547059276e-29
1.0,54,-3628.73974609375,-5.68469760188732e-29
1.0,55,-3630.79052734375,-5.897740963069898e-29
1.0,56,-3632.91650390625,-6.118116098809515e-29
1.0,57,-3635.1201171875,-6.347782040971478e-29
1.0,58,-3637.404541015625,-6.584868831950407e-29
1.0,59,-3639.772216796875,-6.832040273600635e-29
1.0,60,-3642.2265625,-7.088767337040561e-29
1.0,61,-3644.770751953125,-7.355053031535724e-29
1.0,62,-3647.407958984375,-7.631629210464991e-29
1.0,63,-3650.1416015625,-7.918619253715425e-29
1.0,64,-3652.97509765625,-8.217380941897817e-29
1.0,65,-3655.912353515625,-8.526733439215017e-29
1.0,66,-3658.956787109375,-8.849365825351874e-29
1.0,67,-3662.11279296875,-9.183434022386639e-29
1.0,68,-3665.384033203125,-9.531728823179348e-29
1.0,69,-3668.775146484375,-9.892247862440948e-29
1.0,70,-3672.2900390625,-1.0267914942568262e-28
1.0,71,-3675.93359375,-1.0657498070249988e-28
1.0,72,-3679.710205078125,-1.1063072435001204e-28
1.0,73,-3683.625,-1.1484920907782493e-28
1.0,74,-3687.68310546875,-1.192237182052575e-28
1.0,75,-3691.889404296875,-1.2377791659650138e-28
1.0,76,-3696.24951171875,-1.285195200083963e-28
1.0,77,-3700.769287109375,-1.3343645526760336e-28
1.0,78,-3705.4541015625,-1.385591520672439e-28
1.0,79,-3710.310302734375,-1.438894881890137e-28
1.0,80,-3715.34423828125,-1.4942232380737365e-28
1.0,81,-3720.56201171875,-1.5518873861680132e-28
1.0,82,-3725.970703125,-1.6118421871898955e-28
1.0,83,-3731.5771484375,-1.6742512248140347e-28
1.0,84,-3737.388671875,-1.7391536194924263e-28
1.0,85,-3743.41259765625,-1.8067843346782854e-28
1.0,86,-3749.656982421875,-1.8770456294269345e-28
1.0,87,-3756.12939453125,-1.9503984028481896e-28
1.0,88,-3762.8388671875,-2.0265937284967388e-28
1.0,89,-3769.79345703125,-2.1060354498077956e-28
1.0,90,-3777.00244140625,-2.1887741224424004e-28
1.0,91,-3784.47509765625,-2.2748513946356005e-28
1.0,92,-3792.220703125,-2.3647619896418603e-28
1.0,93,-3800.25,-2.4581965549638627e-28
1.0,94,-3808.572509765625,-2.555798832685519e-28
1.0,95,-3817.19970703125,-2.657343729744579e-28
1.0,96,-3826.14208984375,-2.7633423398000346e-28
1.0,97,-3835.41162109375,-2.8737987554530175e-28
1.0,98,-3845.02001953125,-2.9890866071127388e-28
1.0,99,-3854.97998046875,-2.8933606666394017e-28
1.0,100,-3864.58837890625,-2.8004203430893777e-28
1.0,101,-3873.85791015625,-2.710056913804944e-28
1.0,102,-3882.80029296875,-2.622424212440408e-28
1.0,103,-3891.427490234375,-2.5371454789503995e-28
1.0,104,-3899.75,-2.4545892881780254e-28
1.0,105,-3907.779296875,-2.3742173427038295e-28
1.0,106,-3915.52490234375,-2.2964701990025903e-28
1.0,107,-3922.99755859375,-2.2209429303035004e-28
1.0,108,-3930.20654296875,-2.147694518211107e-28
1.0,109,-3937.1611328125,-2.0767694998553733e-28
1.0,110,-3943.87060546875,-2.0078281893423587e-28
1.0,111,-3950.343017578125,-1.9412211059219414e-28
1.0,112,-3956.58740234375,-1.876533211691106e-28
1.0,113,-3962.611328125,-1.8139427755403297e-28
1.0,114,-3968.4228515625,-1.7532646674537085e-28
1.0,115,-3974.029296875,-1.6945198319193875e-28
1.0,116,-3979.43798828125,-1.6375897038751654e-28
1.0,117,-3984.65576171875,-1.5825794872442543e-28
1.0,118,-3989.689697265625,-1.52919981105251e-28
1.0,119,-3994.5458984375,-1.4775549162581726e-28
1.0,120,-3999.230712890625,-1.427669839950519e-28
1.0,121,-4003.75048828125,-1.3792487111418427e-28
1.0,122,-4008.110595703125,-1.3324647431565172e-28
1.0,123,-4012.31689453125,-1.2872690655222034e-28
1.0,124,-4016.375,-1.243430325904332e-28
1.0,125,-4020.289794921875,-1.201055293044195e-28
1.0,126,-4024.06640625,-1.1601422817530908e-28
1.0,127,-4027.7099609375,-1.1204846156738625e-28
1.0,128,-4031.224853515625,-1.0822472025579983e-28
1.0,129,-4034.615966796875,-1.0451222547262608e-28
1.0,130,-4037.88720703125,-1.0093596014036235e-28
1.0,131,-4041.043212890625,-9.746622280814753e-29
1.0,132,-4044.087646484375,-9.412598620909953e-29
1.0,133,-4047.02490234375,-9.088631324580392e-29
1.0,134,-4049.8583984375,-8.776240672775922e-29
1.0,135,-4052.592041015625,-8.474024347755784e-29
1.0,136,-4055.229248046875,-8.181985358785518e-29
1.0,137,-4057.7734375,-7.899414121051238e-29
1.0,138,-4060.227783203125,-7.626434014440007e-29
1.0,139,-4062.595458984375,-7.36377689233069e-29
1.0,140,-4064.8798828125,-7.108464785546781e-29
1.0,141,-4067.08349609375,-6.862768485863333e-29
1.0,142,-4069.20947265625,-6.62450627576522e-29
1.0,143,-4071.26025390625,-6.396012743456903e-29
1.0,144,-4073.239013671875,-6.173414964190841e-29
1.0,145,-4075.147705078125,-5.95982090741479e-29
1.0,146,-4076.9892578125,-5.75218940937594e-29
1.0,147,-4078.765625,-5.552946539951112e-29
1.0,148,-4080.4794921875,-5.359660210732409e-29
1.0,149,-4082.1328125,-5.173198895754128e-29
1.0,150,-4083.727783203125,-4.993588173773344e-29
1.0,151,-4085.2666015625,-4.8200399181456257e-29
1.0,152,-4086.751220703125,-4.651796395808479e-29
1.0,153,-4088.183349609375,-4.4896562658357173e-29
1.0,154,-4089.56494140625,-4.332891285967119e-29
1.0,155,-4090.897705078125,-4.1822014113668466e-29
1.0,156,-4092.18359375,-4.0361725881585454e-29
1.0,157,-4093.424072265625,-3.894721158760256e-29
1.0,158,-4094.62060546875,-3.759423978313945e-29
1.0,159,-4095.775146484375,-3.6287643769884077e-29
1.0,160,-4096.88916015625,-3.5003755674379245e-29
1.0,161,-4097.96337890625,-3.3789932308398113e-29
1.0,162,-4099.0,-3.2606851599154263e-29
1.0,626,-2501.0,-1.5285421360691572e-29
1.0,627,-2502.016845703125,-1.5554288704091875e-29
1.0,628,-2503.050537109375,-1.58235683168709e-29
1.0,629,-2504.1015625,-1.610093382615081e-29
1.0,630,-2505.170166015625,-1.6382889970009103e-29
1.0,631,-2506.256591796875,-1.6668845427767536e-29
1.0,632,-2507.361328125,-1.6963273472648503e-29
1.0,633,-2508.484375,-1.7258219111202025e-29
1.0,634,-2509.626220703125,-1.7561229581397668e-29
1.0,635,-2510.787353515625,-1.7872647939506777e-29
1.0,636,-2511.9677734375,-1.8184809586203798e-29
1.0,637,-2513.16796875,-1.8505281319684296e-29
1.0,638,-2514.38818359375,-1.8830089404805203e-29
1.0,639,-2515.62890625,-1.916358674416739e-29
1.0,640,-2516.89013671875,-1.949761521889705e-29
1.0,641,-2518.1728515625,-1.984767104188266e-29
1.0,642,-2519.476806640625,-2.0195074197296428e-29
1.0,643,-2520.802490234375,-2.055068361983261e-29
1.0,644,-2522.150390625,-2.0915007875367144e-29
1.0,645,-2523.52099609375,-2.128793712570789e-29
1.0,646,-2524.914306640625,-2.1661740567687454e-29
1.0,647,-2526.3310546875,-2.2047957230011702e-29
1.0,648,-2527.771484375,-2.2439322745671648e-29
1.0,649,-2529.236083984375,-2.2839308302465496e-29
1.0,650,-2530.72509765625,-2.324436748095659e-29
1.0,651,-2532.239013671875,-2.3657980496739745e-29
1.0,652,-2533.7783203125,-2.40808214252955e-29
1.0,653,-2535.34326171875,-2.4508559933514523e-29
1.0,654,-2536.934326171875,-2.494546917846092e-29
1.0,655,-2538.55224609375,-2.539505946838489e-29
1.0,656,-2540.197021484375,-2.5846091196501615e-29
1.0,657,-2541.869384765625,-2.6310228276036786e-29
1.0,658,-2543.56982421875,-2.6783615837836093e-29
1.0,659,-2545.298583984375,-2.726237192935538e-29
1.0,660,-2547.05615234375,-2.775048683669817e-29
1.0,661,-2548.84326171875,-2.82518244568154e-29
1.0,662,-2550.66015625,-2.875887065365841e-29
1.0,663,-2552.507568359375,-2.9279124516948163e-29
1.0,664,-2554.385986328125,-2.9809182567361064e-29
1.0,665,-2556.295654296875,-3.034482280534715e-29
1.0,666,-2558.2373046875,-3.089438089644697e-29
1.0,667,-2560.21142578125,-3.145380636924624e-29
1.0,668,-2562.218505859375,-3.2022855473236367e-29
1.0,669,-2564.259033203125,-3.2601928440733923e-29
1.0,670,-2566.333984375,-3.3199108158974257e-29
1.0,671,-2568.443603515625,-3.380250201055078e-29
1.0,672,-2570.58837890625,-3.441618153173654e-29
1.0,673,-2572.76904296875,-3.5043935387844024e-29
1.0,674,-2574.986083984375,-3.568233301615978e-29
1.0,675,-2577.240478515625,-3.6339207534879507e-29
1.0,676,-2579.532470703125,-3.700258206716154e-29
1.0,677,-2581.86279296875,-3.768078325074981e-29
1.0,678,-2584.23193359375,-3.8369883994117103e-29
1.0,679,-2586.640869140625,-3.907793408257784e-29
1.0,680,-2589.090087890625,-3.9796964980987126e-29
1.0,681,-2591.580322265625,-4.0531150540646307e-29
1.0,682,-2594.112060546875,-4.1276870615113045e-29
1.0,683,-2596.686279296875,-4.204192522066211e-29
1.0,684,-2599.303466796875,-4.28186226745781e-29
1.0,685,-2601.964599609375,-4.3614952576864687e-29
1.0,686,-2604.670166015625,-4.442336468028677e-29
1.0,687,-2607.4208984375,-4.5247611538970357e-29
1.0,688,-2610.217529296875,-4.608817463540155e-29
1.0,689,-2613.061279296875,-4.6953145884612316e-29
1.0,690,-2615.952392578125,-4.782652201247101e-29
1.0,691,-2618.891845703125,-4.8720854665537064e-29
1.0,692,-2621.88037109375,-4.9631693140079627e-29
1.0,693,-2624.9189453125,-5.056403883542303e-29
1.0,694,-2628.008544921875,-5.151727184286641e-29
1.0,695,-2631.149658203125,-5.2484419694158e-29
1.0,696,-2634.34326171875,-5.347284305280398e-29
1.0,697,-2637.59033203125,-5.448343867993473e-29
1.0,698,-2640.891845703125,-5.551627879792314e-29
1.0,699,-2644.24853515625,-5.656721062032665e-29
1.0,700,-2647.661376953125,-5.764083832341854e-29
1.0,701,-2651.131103515625,-5.873317763962637e-29
1.0,702,-2654.658935546875,-5.985311192081863e-29
1.0,703,-2658.245849609375,-6.099599486100447e-29
1.0,704,-2661.892822265625,-6.21627894251561e-29
1.0,705,-2665.600830078125,-6.335358589123965e-29
1.0,706,-2669.37060546875,-6.45643939731516e-29
1.0,707,-2673.20361328125,-6.580782851202768e-29
1.0,708,-2677.100830078125,-6.707651680729955e-29
1.0,709,-2681.06298828125,-6.836592088653572e-29
1.0,710,-2685.091552734375,-6.96891250362959e-29
1.0,711,-2689.1875,-7.103837137002283e-29
1.0,712,-2693.35205078125,-7.241781267415912e-29
1.0,713,-2697.586181640625,-7.382381977446579e-29
1.0,714,-2701.89111328125,-7.526093064337432e-29
1.0,715,-2706.26806640625,-7.672971704133694e-29
1.0,716,-2710.71826171875,-7.823005859773213e-29
1.0,717,-2715.24267578125,-7.975883169493133e-29
1.0,718,-2719.843017578125,-8.132863913700814e-29
1.0,719,-2724.520263671875,-8.292739571356152e-29
1.0,720,-2729.275634765625,-8.455995837916997e-29
1.0,721,-2734.110595703125,-8.623106973632154e-29
1.0,722,-2739.026611328125,-8.794071172942302e-29
